Antibiotic,vtm_nm,vtm_id,vmp_nm,vmp_id,vmp_atc_route,atc_route,aware_2019,aware_2024
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 75mg/5ml oral suspension,12020811000001102,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 80mg/5ml oral suspension,12020911000001107,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 100mg/5ml oral suspension,12019511000001104,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 125mg/5ml oral suspension,12019611000001100,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 150mg/5ml oral suspension,12019711000001109,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 165mg/5ml oral suspension,12019811000001101,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 170mg/5ml oral suspension,12019911000001106,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 175mg/5ml oral suspension,12020011000001108,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 20mg/5ml oral suspension,12020111000001109,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 375mg/5ml oral suspension,12020211000001103,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 40mg/5ml oral suspension,12020311000001106,O,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 0.2% eye drops preservative free,18519011000001100,,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 0.3% ear drops,19395211000001107,,,Watch,Watch
Ciprofloxacin,Ciprofloxacin,775261009,Ciprofloxacin 2mg/ml ear drops 0.25ml unit dose preservative free,34941111000001103,,,Watch,Watch
Ciprofloxacin,Ciprofloxacin + Fluocinolone acetonide,35873111000001100,Ciprofloxacin 3mg/ml / Fluocinolone acetonide 0.25mg/ml ear drops 0.25ml unit dose preservative free,35873211000001106,,,Watch,Watch
Clarithromycin,Clarithromycin,775277005,Clarithromycin 2% eye drops preservative free,22389711000001109,,,Watch,Watch
Clarithromycin,Clarithromycin,775277005,Clarithromycin 500mg/250ml infusion bags,22390311000001100,P,,Watch,Watch
Clarithromycin,Clarithromycin,775277005,Clarithromycin 500mg tablets,41946511000001109,O,,Watch,Watch
Clarithromycin,Clarithromycin,775277005,Clarithromycin 250mg tablets,41946311000001103,O,,Watch,Watch
Clarithromycin,Clarithromycin,775277005,Clarithromycin 500mg modified-release tablets,36142611000001107,O,,Watch,Watch
Clarithromycin,Clarithromycin,775277005,Clarithromycin 125mg/5ml oral suspension,35368711000001104,O,,Watch,Watch
Clarithromycin,Clarithromycin,775277005,Clarithromycin 250mg/5ml oral suspension,37083211000001101,O,,Watch,Watch
Clarithromycin,Clarithromycin,775277005,Clarithromycin 500mg powder for solution for infusion vials,41946411000001105,P,,Watch,Watch
Clarithromycin,Clarithromycin,775277005,Clarithromycin 250mg granules for oral suspension sachets,41946211000001106,O,,Watch,Watch
Clarithromycin,Clarithromycin,775277005,Clarithromycin 125mg granules for oral suspension sachets,4977911000001105,O,,Watch,Watch
Clarithromycin,Clarithromycin,775277005,Clarithromycin 125mg granules for oral suspension straws,9742311000001103,O,,Watch,Watch
Clarithromycin,Clarithromycin,775277005,Clarithromycin 187.5mg granules for oral suspension straws,9742411000001105,O,,Watch,Watch
Clarithromycin,Clarithromycin,775277005,Clarithromycin 250mg granules for oral suspension straws,9742511000001109,O,,Watch,Watch
Clindamycin,Benzoyl peroxide + Clindamycin,774812007,Benzoyl peroxide 3% / Clindamycin 1% gel,22683611000001109,,,Watch,Watch
Clindamycin,Benzoyl peroxide + Clindamycin,774812007,Benzoyl peroxide 5% / Clindamycin 1% gel,41737011000001106,,,Watch,Watch
Clindamycin,Clindamycin + Tretinoin,775289007,Clindamycin 1% / Tretinoin 0.025% gel,24535111000001106,,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 300mg/50ml infusion bags,38082611000001103,P,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 600mg/50ml infusion bags,38082711000001107,P,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 2% vaginal cream,39700011000001105,V,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 1% alcoholic solution,36142711000001103,,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 1% aqueous lotion,37083411000001102,,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 150mg capsules,41946611000001108,O,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 1% gel,41738311000001105,,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 75mg capsules,41946711000001104,O,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 300mg/2ml solution for injection ampoules,36087211000001109,P,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 600mg/4ml solution for injection ampoules,36087311000001101,P,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 75mg/5ml oral solution,27864611000001100,O,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 75mg/5ml oral suspension,8360611000001101,O,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 120mg/5ml oral solution,12021311000001101,O,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 150mg/5ml oral solution,12021411000001108,O,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 20mg/5ml oral solution,12021611000001106,O,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 300mg/5ml oral solution,12021711000001102,O,,Watch,Watch
Clindamycin,Clindamycin,775288004,Clindamycin 400mg/5ml oral solution,12021811000001105,O,,Watch,Watch
